State,Year,Crop,Yield,Rainfall_x,Pesticides,Fertilizer_Total,Rainfall_y,Pesticides_total_country
Andhra Pradesh,2002,Cashewnut,0.168125,648.1,37661.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Castor seed,0.296315789,648.1,57975.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Coconut ,9202.625556,648.1,26322.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Coriander,0.414705882,648.1,11268.25,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Cotton(lint),1.455238095,648.1,200818.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Dry chillies,1.8697727274999998,648.1,27906.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Ginger,1.635,648.1,506.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Gram,1.084940476,648.1,48768.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Groundnut,1.131590909,648.1,183703.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Horse-gram,0.35746212099999997,648.1,10180.125,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Jowar,0.751590909,648.1,77980.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Linseed,0.322857143,648.1,1017.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Maize,3.5468181815000004,648.1,65706.125,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Mesta,7.506363636,648.1,20292.25,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Moong(Green Gram),0.2541363635,648.1,59181.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Niger seed,0.37999999999999995,648.1,3729.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Onion,14.826820730000001,648.1,3391.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Other  Rabi pulses,0.27375,648.1,468.25,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Other Kharif pulses,0.22299999999999998,648.1,1728.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Potato,6.946666667,648.1,668.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Ragi,1.2125892855,648.1,8906.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Rapeseed &Mustard,0.302857143,648.1,842.25,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Rice,2.3681818185,648.1,352758.375,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Safflower,0.318181818,648.1,4837.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Sesamum,0.1690079365,648.1,14391.875,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Small millets,0.39493589749999997,648.1,6030.25,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Soyabean,0.0,648.1,10321.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Sugarcane,69.35666667,648.1,58117.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Sunflower,0.9025,648.1,104144.75,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Sweet potato,11.29588235,648.1,321.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Tapioca,5.034285714,648.1,3284.5,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Tobacco,3.58547619,648.1,43403.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Urad,0.313560606,648.1,86803.875,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,Wheat,1.09,648.1,2761.0,95747.09090909091,659.2,84966.0
Andhra Pradesh,2002,other oilseeds,1.224666667,648.1,2730.25,95747.09090909091,659.2,84966.0
Andhra Pradesh,2003,Arecanut,0.704,826.0,74.64,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Arhar/Tur,0.4201704545,826.0,62487.72,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Bajra,0.9781907895,826.0,16573.800000000003,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Banana,15.682631579999999,826.0,9291.36,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Cashewnut,0.225,826.0,36018.48,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Castor seed,0.447894737,826.0,69819.6,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Coconut ,9524.628235,826.0,24951.6,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Coriander,0.405294118,826.0,11674.56,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Cotton(lint),2.137619048,826.0,200854.08,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Dry chillies,2.828409091,826.0,30038.04,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Ginger,2.995,826.0,449.5199999999999,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Gram,1.4978070175,826.0,50653.32,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Groundnut,1.240909091,826.0,179191.08000000002,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Horse-gram,0.4066666665,826.0,9539.28,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Jowar,1.6258333335000001,826.0,77781.48,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Linseed,0.21,826.0,1090.08,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Maize,3.7513636365,826.0,86473.68000000001,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Mesta,7.792857143,826.0,14202.48,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Moong(Green Gram),0.424,826.0,81661.32,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Niger seed,0.375,826.0,4150.8,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Onion,16.34245614,826.0,3485.88,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Other  Rabi pulses,0.18181818200000002,826.0,1039.92,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Other Kharif pulses,0.240769231,826.0,2003.76,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Potato,9.045,826.0,635.52,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Ragi,1.4618717950000002,826.0,9413.04,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Rapeseed &Mustard,0.285714286,826.0,406.8,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Rice,2.6999999999999997,826.0,356956.56,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Safflower,0.297272727,826.0,4140.0,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Sesamum,0.233295739,826.0,19368.96,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Small millets,0.547904762,826.0,6077.28,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Soyabean,1.345,826.0,16421.76,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Sugarcane,74.48380952,826.0,50152.55999999999,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Sunflower,1.057142857,826.0,117781.68,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Sweet potato,7.320000000000001,826.0,303.12,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Tapioca,6.29,826.0,4669.44,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Tobacco,3.782439024,826.0,45847.2,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Urad,0.532181818,826.0,52623.84,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,Wheat,0.481818182,826.0,2862.72,102594.18181818182,911.15,123712.0
Andhra Pradesh,2003,other oilseeds,0.0,826.0,3506.1599999999994,102594.18181818182,911.15,123712.0
Andhra Pradesh,2004,Arhar/Tur,0.4820454545,781.8,50429.08500000001,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Bajra,0.7609090909999999,781.8,9824.745,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Banana,26.37047619,781.8,8590.26,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Cashewnut,0.256875,781.8,31573.92,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Castor seed,0.484444444,781.8,57036.0,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Coconut ,10469.71389,781.8,21812.49,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Coriander,0.516470588,781.8,5036.01,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Cotton(lint),1.901428571,781.8,247467.98999999996,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Dry chillies,3.03,781.8,24836.594999999998,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Garlic,0.0,781.8,115.92000000000002,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Ginger,5.2775,781.8,393.33,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Gram,0.9875,781.8,35840.595,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Groundnut,1.3670454545,781.8,193318.96500000003,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Horse-gram,0.38578571449999993,781.8,6987.435,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Jowar,1.1265909095,781.8,52541.26500000001,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Linseed,0.126666667,781.8,878.0100000000001,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Maize,4.0276298705,781.8,68967.36,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Mesta,8.414444444,781.8,11262.09,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Moong(Green Gram),0.368074163,781.8,47685.225,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Niger seed,0.425,781.8,3284.4,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Onion,17.285238095,781.8,3586.275,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Other  Rabi pulses,0.256470588,781.8,3697.89,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Other Kharif pulses,0.268,781.8,3409.14,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Potato,7.64,781.8,847.77,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Ragi,1.6311813185,781.8,7243.635,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Rapeseed &Mustard,0.201666667,781.8,760.83,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Rice,2.7752272725,781.8,324051.21,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Safflower,0.353636364,781.8,3991.47,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Sesamum,0.27399999999999997,781.8,21974.820000000003,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Small millets,0.502818182,781.8,5011.0199999999995,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Soyabean,1.235555556,781.8,16203.18,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Sugarcane,77.12619048,781.8,44002.56,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Sunflower,0.7206818185,781.8,84931.14,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Sweet potato,6.883157895,781.8,250.53,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Tapioca,6.748000000000001,781.8,4228.77,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Tobacco,4.54547619,781.8,39791.64,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Urad,0.541291866,781.8,44888.76,118644.90909090909,807.6500000000001,105304.0
Andhra Pradesh,2004,Wheat,0.387272727,781.8,1926.54,118644.90909090909,807.6500000000001,105304.0
